Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Moldova,Baby Food,Online,H,2019-07-06,623362386,2019-08-13,5637,255.28,159.42,1439013.36,898650.54,540362.82
Sub-Saharan Africa,Nigeria,Household,Offline,H,2021-11-08,533528983,2021-12-22,1937,668.27,502.54,1294438.99,973419.98,321019.01
Europe,Lithuania,Fruits,Offline,L,2024-02-01,260402429,2024-02-17,7720,9.33,6.92,72027.6,53422.4,18605.2
Europe,Portugal,Fruits,Offline,L,2020-06-05,813406550,2020-06-15,3929,9.33,6.92,36657.57,27188.68,9468.89
Middle East and North Africa,Morocco,Snacks,Offline,L,2017-04-19,122277677,2017-06-06,3537,152.58,97.44,539675.46,344645.28,195030.18
Europe,Albania,Vegetables,Offline,L,2017-04-08,687064635,2017-05-14,6549,154.06,90.93,1008938.94,595500.57,413438.37
Asia,Uzbekistan,Clothes,Online,C,2024-06-03,128128755,2024-07-20,5001,109.28,35.84,546509.28,179235.84,367273.44
Sub-Saharan Africa,Central African Republic,Fruits,Online,C,2017-08-07,636143863,2017-09-15,7960,9.33,6.92,74266.8,55083.2,19183.6
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Offline,C,2019-12-07,422096288,2020-01-13,6526,81.73,56.67,533369.98,369828.42,163541.56
Europe,Malta,Beverages,Online,L,2018-08-15,467284858,2018-08-17,8828,47.45,31.79,418888.6,280642.12,138246.48
Sub-Saharan Africa,Mauritania,Snacks,Offline,M,2023-10-04,473320901,2023-10-13,5028,152.58,97.44,767172.24,489928.32,277243.92
Europe,Greece,Fruits,Offline,M,2020-03-16,212128245,2020-04-05,2317,9.33,6.92,21617.61,16033.64,5583.97
Europe,Macedonia,Personal Care,Offline,L,2015-09-20,875943219,2015-10-03,9919,81.73,56.67,810679.87,562109.73,248570.14
Sub-Saharan Africa,Chad,Household,Online,C,2014-03-18,127314651,2014-03-19,4089,668.27,502.54,2732556.03,2054886.06,677669.97
Sub-Saharan Africa,Rwanda,Clothes,Offline,C,2021-02-02,649103868,2021-02-14,3114,109.28,35.84,340297.92,111605.76,228692.16
Sub-Saharan Africa,Seychelles,Meat,Offline,C,2016-07-19,694484698,2016-08-01,2310,421.89,364.69,974565.9,842433.9,132132.0
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Online,C,2014-05-08,836943471,2014-06-11,9027,255.28,159.42,2304412.56,1439084.34,865328.22
Europe,United Kingdom,Clothes,Online,M,2024-06-03,820279014,2024-07-14,7643,109.28,35.84,835227.04,273925.12,561301.92
Central America and the Caribbean,Saint Lucia,Clothes,Offline,L,2015-06-03,908602654,2015-06-18,4571,109.28,35.84,499518.88,163824.64,335694.24
Central America and the Caribbean,Grenada,Fruits,Online,H,2016-04-26,536338222,2016-05-22,3253,9.33,6.92,30350.49,22510.76,7839.73
Sub-Saharan Africa,Seychelles,Cereal,Offline,H,2014-10-26,558222043,2014-11-01,9162,205.7,117.11,1884623.4,1072961.82,811661.58
Europe,Andorra,Office Supplies,Online,H,2016-03-04,999302947,2016-04-01,4804,651.21,524.96,3128412.84,2521907.84,606505.0
Central America and the Caribbean,Guatemala,Baby Food,Online,L,2016-06-07,604942262,2016-06-30,4713,255.28,159.42,1203134.64,751346.46,451788.18
Australia and Oceania,Solomon Islands,Household,Online,M,2018-07-07,890813815,2018-07-22,459,668.27,502.54,306735.93,230665.86,76070.07
Europe,Monaco,Baby Food,Online,C,2016-02-16,292903935,2016-03-28,5638,255.28,159.42,1439268.64,898809.96,540458.68
Europe,Italy,Beverages,Online,M,2020-07-16,917511451,2020-08-06,882,47.45,31.79,41850.9,28038.78,13812.12
Asia,Vietnam,Household,Offline,C,2023-02-18,891247689,2023-04-05,8852,668.27,502.54,5915526.04,4448484.08,1467041.96
Europe,Luxembourg,Baby Food,Online,H,2022-02-17,211036479,2022-03-29,9239,255.28,159.42,2358531.92,1472881.38,885650.54
Sub-Saharan Africa,Lesotho,Cereal,Online,M,2017-04-09,294114148,2017-05-21,3767,205.7,117.11,774871.9,441153.37,333718.53
Middle East and North Africa,Syria,Office Supplies,Online,C,2015-02-20,828029525,2015-03-21,1192,651.21,524.96,776242.32,625752.32,150490.0
Sub-Saharan Africa,Angola,Cereal,Online,M,2023-10-26,220643937,2023-12-06,2299,205.7,117.11,472904.3,269235.89,203668.41
Europe,Bosnia and Herzegovina,Office Supplies,Online,M,2015-06-23,550131213,2015-06-30,4906,651.21,524.96,3194836.26,2575453.76,619382.5
Europe,Cyprus,Vegetables,Online,C,2017-04-01,814977681,2017-04-20,8861,154.06,90.93,1365125.66,805730.73,559394.93
Middle East and North Africa,Yemen,Cereal,Offline,C,2020-05-07,983982169,2020-05-14,1045,205.7,117.11,214956.5,122379.95,92576.55
Central America and the Caribbean,Belize,Vegetables,Offline,H,2017-06-27,646256005,2017-07-12,368,154.06,90.93,56694.08,33462.24,23231.84
Asia,South Korea,Cosmetics,Online,C,2018-12-07,361223018,2018-12-31,2773,437.2,263.33,1212355.6,730214.09,482141.51
Europe,Norway,Cosmetics,Online,H,2015-01-21,308619534,2015-02-20,6233,437.2,263.33,2725067.6,1641335.89,1083731.71
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,M,2024-06-22,738494384,2024-07-07,5754,9.33,6.92,53684.82,39817.68,13867.14
Middle East and North Africa,Yemen,Snacks,Online,M,2024-07-12,621208894,2024-08-08,8371,152.58,97.44,1277247.18,815670.24,461576.94
Asia,Maldives,Meat,Offline,C,2020-10-20,797436892,2020-10-20,8152,421.89,364.69,3439247.28,2972952.88,466294.4
Central America and the Caribbean,Belize,Clothes,Online,H,2020-05-20,828164708,2020-06-22,1196,109.28,35.84,130698.88,42864.64,87834.24
Europe,Luxembourg,Cereal,Online,M,2015-10-27,344691169,2015-11-07,631,205.7,117.11,129796.7,73896.41,55900.29
Middle East and North Africa,Bahrain,Personal Care,Offline,C,2022-07-20,398627603,2022-08-24,1621,81.73,56.67,132484.33,91862.07,40622.26
Sub-Saharan Africa,Kenya,Household,Online,M,2020-02-02,311897838,2020-03-16,6356,668.27,502.54,4247524.12,3194144.24,1053379.88
Asia,Nepal,Vegetables,Offline,H,2021-07-16,826738202,2021-08-20,9061,154.06,90.93,1395937.66,823916.73,572020.93
Europe,Georgia,Clothes,Offline,L,2014-10-09,955697524,2014-10-10,990,109.28,35.84,108187.2,35481.6,72705.6
Sub-Saharan Africa,Benin,Beverages,Online,L,2021-03-29,231637132,2021-05-14,5430,47.45,31.79,257653.5,172619.7,85033.8
Central America and the Caribbean,The Bahamas,Clothes,Offline,L,2015-10-14,957730853,2015-10-22,2697,109.28,35.84,294728.16,96660.48,198067.68
Europe,Moldova,Baby Food,Online,C,2017-07-08,557465016,2017-08-21,5141,255.28,159.42,1312394.48,819578.22,492816.26
Asia,Maldives,Personal Care,Online,L,2020-04-29,124638450,2020-06-13,2142,81.73,56.67,175065.66,121387.14,53678.52
Middle East and North Africa,Israel,Cereal,Offline,C,2019-08-08,373362481,2019-08-25,5110,205.7,117.11,1051127.0,598432.1,452694.9
Sub-Saharan Africa,Namibia,Cereal,Online,H,2017-07-31,288060939,2017-08-05,2488,205.7,117.11,511781.6,291369.68,220411.92
Australia and Oceania,Solomon Islands,Cosmetics,Offline,L,2018-01-03,273470151,2018-01-20,4750,437.2,263.33,2076700.0,1250817.5,825882.5
Australia and Oceania,Tuvalu,Clothes,Offline,M,2020-10-14,804638946,2020-12-02,9400,109.28,35.84,1027232.0,336896.0,690336.0
Asia,Taiwan,Cosmetics,Offline,C,2016-08-16,176928651,2016-08-24,5974,437.2,263.33,2611832.8,1573133.42,1038699.38
Australia and Oceania,Tuvalu,Snacks,Offline,M,2024-06-22,356013095,2024-08-04,1041,152.58,97.44,158835.78,101435.04,57400.74
Middle East and North Africa,Afghanistan,Snacks,Offline,M,2022-01-04,227878606,2022-01-18,3198,152.58,97.44,487950.84,311613.12,176337.72
Europe,Sweden,Office Supplies,Online,M,2015-02-24,548824012,2015-03-17,8076,651.21,524.96,5259171.96,4239576.96,1019595.0
Sub-Saharan Africa,South Sudan,Personal Care,Online,H,2022-01-03,795460641,2022-01-28,3335,81.73,56.67,272569.55,188994.45,83575.1
Europe,Portugal,Fruits,Offline,M,2014-01-29,514712321,2014-02-26,3669,9.33,6.92,34231.77,25389.48,8842.29
Europe,France,Office Supplies,Online,H,2017-10-30,673815381,2017-12-11,5800,651.21,524.96,3777018.0,3044768.0,732250.0
Asia,China,Beverages,Offline,H,2023-10-21,510318648,2023-11-10,3483,47.45,31.79,165268.35,110724.57,54543.78
Sub-Saharan Africa,Sierra Leone,Vegetables,Online,C,2024-01-19,682083451,2024-02-15,2505,154.06,90.93,385920.3,227779.65,158140.65
Central America and the Caribbean,Panama,Personal Care,Online,C,2017-06-20,117283618,2017-07-07,5684,81.73,56.67,464553.32,322112.28,142441.04
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2015-02-25,964405477,2015-03-04,7867,255.28,159.42,2008287.76,1254157.14,754130.62
Australia and Oceania,Nauru,Vegetables,Offline,L,2024-05-10,942247855,2024-05-12,934,154.06,90.93,143892.04,84928.62,58963.42
Europe,Slovenia,Snacks,Online,H,2021-10-02,989922082,2021-10-23,8797,152.58,97.44,1342246.26,857179.68,485066.58
Australia and Oceania,Australia,Beverages,Offline,C,2022-12-14,316851985,2023-01-03,2398,47.45,31.79,113785.1,76232.42,37552.68
Europe,Norway,Beverages,Online,C,2023-09-04,452773892,2023-09-23,4711,47.45,31.79,223536.95,149762.69,73774.26
Sub-Saharan Africa,Central African Republic,Baby Food,Offline,C,2015-10-21,297736632,2015-11-17,5741,255.28,159.42,1465562.48,915230.22,550332.26
Middle East and North Africa,Azerbaijan,Cosmetics,Online,H,2014-02-09,172101533,2014-02-24,7523,437.2,263.33,3289055.6,1981031.59,1308024.01
Sub-Saharan Africa,Cote d'Ivoire,Household,Offline,C,2018-10-30,466542422,2018-12-13,9125,668.27,502.54,6097963.75,4585677.5,1512286.25
Middle East and North Africa,Egypt,Fruits,Offline,C,2021-01-02,292045629,2021-02-06,1646,9.33,6.92,15357.18,11390.32,3966.86
Sub-Saharan Africa,Benin,Baby Food,Online,C,2018-07-14,629909980,2018-07-15,3216,255.28,159.42,820980.48,512694.72,308285.76
Europe,Andorra,Personal Care,Offline,L,2021-07-05,281746804,2021-07-22,3995,81.73,56.67,326511.35,226396.65,100114.7
Europe,Poland,Snacks,Online,L,2014-10-17,819479930,2014-12-02,1177,152.58,97.44,179586.66,114686.88,64899.78
North America,Mexico,Vegetables,Offline,C,2016-10-31,735345685,2016-11-13,3984,154.06,90.93,613775.04,362265.12,251509.92
Middle East and North Africa,Yemen,Household,Online,M,2020-11-05,391892898,2020-12-09,8672,668.27,502.54,5795237.44,4358026.88,1437210.56
Middle East and North Africa,Turkey,Vegetables,Offline,L,2021-07-22,671982896,2021-08-27,3527,154.06,90.93,543369.62,320710.11,222659.51
Europe,United Kingdom,Snacks,Offline,C,2020-07-13,728789508,2020-08-17,3866,152.58,97.44,589874.28,376703.04,213171.24
Australia and Oceania,Papua New Guinea,Vegetables,Online,H,2020-11-07,235799062,2020-11-17,7037,154.06,90.93,1084120.22,639874.41,444245.81
Sub-Saharan Africa,Togo,Fruits,Offline,C,2021-09-29,736810386,2021-10-30,7422,9.33,6.92,69247.26,51360.24,17887.02
Europe,Slovakia,Household,Online,L,2023-12-13,695934808,2024-01-09,1430,668.27,502.54,955626.1,718632.2,236993.9
Europe,Czech Republic,Clothes,Offline,H,2024-05-09,447596156,2024-05-26,2504,109.28,35.84,273637.12,89743.36,183893.76
Sub-Saharan Africa,Sierra Leone,Meat,Offline,L,2021-05-13,846530759,2021-06-18,6118,421.89,364.69,2581123.02,2231173.42,349949.6
Australia and Oceania,Samoa,Snacks,Offline,H,2020-03-21,117787444,2020-03-22,4777,152.58,97.44,728874.66,465470.88,263403.78
Europe,Latvia,Household,Online,H,2016-12-25,606727540,2017-02-13,3017,668.27,502.54,2016170.59,1516163.18,500007.41
Europe,Albania,Snacks,Online,M,2014-07-24,229024875,2014-07-26,2405,152.58,97.44,366954.9,234343.2,132611.7
Central America and the Caribbean,Nicaragua,Baby Food,Online,M,2017-05-14,120665776,2017-06-29,6540,255.28,159.42,1669531.2,1042606.8,626924.4
Sub-Saharan Africa,Tanzania,Clothes,Offline,M,2015-04-11,587949073,2015-04-13,6051,109.28,35.84,661253.28,216867.84,444385.44
Europe,Iceland,Clothes,Offline,M,2021-01-18,657486093,2021-01-29,3600,109.28,35.84,393408.0,129024.0,264384.0
Sub-Saharan Africa,Guinea,Office Supplies,Offline,H,2022-03-26,326200664,2022-05-13,8880,651.21,524.96,5782744.8,4661644.8,1121100.0
Sub-Saharan Africa,Burkina Faso,Cereal,Online,H,2018-07-21,111329114,2018-09-08,3614,205.7,117.11,743399.8,423235.54,320164.26
Asia,Malaysia,Cosmetics,Offline,M,2016-08-05,600420272,2016-09-17,6556,437.2,263.33,2866283.2,1726391.48,1139891.72
Sub-Saharan Africa,Niger,Beverages,Offline,M,2024-06-14,201335465,2024-07-04,8493,47.45,31.79,402992.85,269992.47,133000.38
Middle East and North Africa,Qatar,Meat,Online,H,2014-04-13,992248523,2014-04-22,7243,421.89,364.69,3055749.27,2641449.67,414299.6
Europe,Liechtenstein,Beverages,Offline,M,2023-12-02,171645772,2023-12-04,2653,47.45,31.79,125884.85,84338.87,41545.98
Sub-Saharan Africa,Zambia,Vegetables,Online,M,2023-03-09,408326041,2023-04-08,1604,154.06,90.93,247112.24,145851.72,101260.52
Middle East and North Africa,Iraq,Personal Care,Offline,M,2015-06-29,391400659,2015-08-02,3008,81.73,56.67,245843.84,170463.36,75380.48
Asia,Kazakhstan,Meat,Offline,C,2021-10-16,680293452,2021-12-03,2805,421.89,364.69,1183401.45,1022955.45,160446.0
Middle East and North Africa,Oman,Snacks,Online,C,2021-10-07,554740750,2021-10-22,8970,152.58,97.44,1368642.6,874036.8,494605.8
Sub-Saharan Africa,Mauritania,Meat,Offline,H,2023-05-05,264791381,2023-05-26,6509,421.89,364.69,2746082.01,2373767.21,372314.8
Sub-Saharan Africa,Mozambique,Snacks,Online,H,2014-07-21,580806672,2014-07-31,2456,152.58,97.44,374736.48,239312.64,135423.84
Central America and the Caribbean,Panama,Meat,Offline,L,2022-05-14,543460452,2022-06-02,880,421.89,364.69,371263.2,320927.2,50336.0
North America,Canada,Baby Food,Online,C,2021-10-16,613739049,2021-11-30,7878,255.28,159.42,2011095.84,1255910.76,755185.08
Middle East and North Africa,Jordan,Clothes,Online,H,2016-01-25,422941291,2016-02-18,6582,109.28,35.84,719280.96,235898.88,483382.08
Middle East and North Africa,Azerbaijan,Beverages,Offline,L,2020-08-19,122678506,2020-08-26,2151,47.45,31.79,102064.95,68380.29,33684.66
Europe,Liechtenstein,Snacks,Offline,M,2015-01-04,834874522,2015-02-05,6779,152.58,97.44,1034339.82,660545.76,373794.06
Sub-Saharan Africa,Gabon,Household,Offline,H,2022-12-27,601765668,2023-02-14,4689,668.27,502.54,3133518.03,2356410.06,777107.97
Europe,Netherlands,Office Supplies,Offline,C,2021-09-29,235900771,2021-11-16,7135,651.21,524.96,4646383.35,3745589.6,900793.75
Central America and the Caribbean,Guatemala,Cereal,Offline,H,2022-01-15,170141160,2022-02-16,7405,205.7,117.11,1523208.5,867199.55,656008.95
Sub-Saharan Africa,Ethiopia,Household,Offline,H,2020-02-07,907660663,2020-03-21,5815,668.27,502.54,3885990.05,2922270.1,963719.95
Europe,Andorra,Beverages,Offline,C,2024-05-09,771945607,2024-06-13,4714,47.45,31.79,223679.3,149858.06,73821.24
Australia and Oceania,Tonga,Household,Offline,C,2017-12-25,856794822,2018-02-13,3482,668.27,502.54,2326916.14,1749844.28,577071.86
Central America and the Caribbean,Barbados,Meat,Offline,M,2017-10-08,976319634,2017-11-21,3531,421.89,364.69,1489693.59,1287720.39,201973.2
Asia,Mongolia,Cosmetics,Offline,H,2015-04-04,114943873,2015-04-15,3301,437.2,263.33,1443197.2,869252.33,573944.87
Europe,Ukraine,Cereal,Offline,C,2014-03-11,477403867,2014-03-21,3268,205.7,117.11,672227.6,382715.48,289512.12
Middle East and North Africa,Oman,Clothes,Online,C,2014-06-23,738748443,2014-07-29,936,109.28,35.84,102286.08,33546.24,68739.84
Europe,Montenegro,Meat,Offline,C,2017-07-05,994338929,2017-08-23,5840,421.89,364.69,2463837.6,2129789.6,334048.0
Sub-Saharan Africa,Mauritania,Household,Online,C,2020-11-09,509849154,2020-12-23,4550,668.27,502.54,3040628.5,2286557.0,754071.5
Sub-Saharan Africa,South Sudan,Office Supplies,Online,M,2023-08-02,871265447,2023-09-05,5662,651.21,524.96,3687151.02,2972323.52,714827.5
North America,United States of America,Beverages,Offline,H,2020-11-29,134886634,2020-12-15,4807,47.45,31.79,228092.15,152814.53,75277.62
Central America and the Caribbean,Saint Kitts and Nevis,Cosmetics,Online,H,2020-04-05,477324044,2020-04-09,9647,437.2,263.33,4217668.4,2540344.51,1677323.89
Europe,France,Fruits,Offline,H,2014-07-06,545501506,2014-08-24,4873,9.33,6.92,45465.09,33721.16,11743.93
Sub-Saharan Africa,Guinea,Baby Food,Online,L,2019-06-11,406655347,2019-06-24,7209,255.28,159.42,1840313.52,1149258.78,691054.74
Europe,Italy,Vegetables,Offline,M,2014-11-26,198334395,2015-01-14,410,154.06,90.93,63164.6,37281.3,25883.3
Central America and the Caribbean,Belize,Snacks,Offline,L,2014-04-29,578399980,2014-05-20,262,152.58,97.44,39975.96,25529.28,14446.68
Asia,Myanmar,Fruits,Online,H,2016-08-10,475025928,2016-09-13,9583,9.33,6.92,89409.39,66314.36,23095.03
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,H,2022-02-26,236698567,2022-03-03,3221,437.2,263.33,1408221.2,848185.93,560035.27
Asia,Turkmenistan,Cosmetics,Online,L,2016-10-31,282216727,2016-12-09,3056,437.2,263.33,1336083.2,804736.48,531346.72
Central America and the Caribbean,Panama,Personal Care,Offline,C,2020-02-02,650691735,2020-02-06,2999,81.73,56.67,245108.27,169953.33,75154.94
Europe,Montenegro,Snacks,Offline,L,2015-06-14,551547420,2015-06-21,3993,152.58,97.44,609251.94,389077.92,220174.02
Sub-Saharan Africa,Gabon,Cosmetics,Offline,M,2020-01-10,614520108,2020-01-29,9011,437.2,263.33,3939609.2,2372866.63,1566742.57
Middle East and North Africa,Jordan,Clothes,Online,M,2015-01-03,639658629,2015-02-19,8058,109.28,35.84,880578.24,288798.72,591779.52
Middle East and North Africa,Syria,Clothes,Online,M,2015-02-28,947324311,2015-03-12,3170,109.28,35.84,346417.6,113612.8,232804.8
Sub-Saharan Africa,Mauritania,Fruits,Offline,H,2020-09-22,128190982,2020-10-19,3415,9.33,6.92,31861.95,23631.8,8230.15
Sub-Saharan Africa,Benin,Cereal,Online,H,2022-09-29,893244969,2022-10-10,9891,205.7,117.11,2034578.7,1158335.01,876243.69
Australia and Oceania,Samoa,Fruits,Online,H,2019-02-11,623785102,2019-03-12,728,9.33,6.92,6792.24,5037.76,1754.48
Sub-Saharan Africa,Mali,Meat,Offline,H,2019-12-05,821422708,2019-12-09,6088,421.89,364.69,2568466.32,2220232.72,348233.6
Central America and the Caribbean,Guatemala,Household,Offline,H,2020-09-27,358081614,2020-11-16,3162,668.27,502.54,2113069.74,1589031.48,524038.26
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Offline,L,2018-08-13,425998151,2018-09-23,1174,9.33,6.92,10953.42,8124.08,2829.34
Sub-Saharan Africa,Swaziland,Beverages,Offline,M,2017-06-17,487721145,2017-08-01,6380,47.45,31.79,302731.0,202820.2,99910.8
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Offline,C,2022-09-10,526111924,2022-10-16,7065,205.7,117.11,1453270.5,827382.15,625888.35
Middle East and North Africa,Somalia,Vegetables,Online,H,2014-06-29,594344317,2014-08-02,8546,154.06,90.93,1316596.76,777087.78,539508.98
Europe,France,Snacks,Offline,L,2017-04-30,365904653,2017-05-15,8173,152.58,97.44,1247036.34,796377.12,450659.22
Europe,Estonia,Beverages,Offline,L,2019-09-26,484591758,2019-11-15,325,47.45,31.79,15421.25,10331.75,5089.5
Europe,Liechtenstein,Clothes,Offline,L,2022-06-14,314516961,2022-07-01,1413,109.28,35.84,154412.64,50641.92,103770.72
Asia,Sri Lanka,Office Supplies,Online,L,2022-05-14,190104091,2022-06-20,4880,651.21,524.96,3177904.8,2561804.8,616100.0
Australia and Oceania,Fiji,Baby Food,Offline,M,2017-11-18,966089475,2017-12-30,6199,255.28,159.42,1582480.72,988244.58,594236.14
Sub-Saharan Africa,Djibouti,Meat,Offline,M,2014-03-30,867521941,2014-04-02,7876,421.89,364.69,3322805.64,2872298.44,450507.2
Middle East and North Africa,Syria,Personal Care,Online,C,2018-03-15,439762818,2018-03-19,4445,81.73,56.67,363289.85,251898.15,111391.7
Central America and the Caribbean,Jamaica,Fruits,Online,M,2021-12-21,298485934,2022-01-07,7476,9.33,6.92,69751.08,51733.92,18017.16
Sub-Saharan Africa,Tanzania,Cereal,Online,C,2019-04-11,679677617,2019-05-10,566,205.7,117.11,116426.2,66284.26,50141.94
Europe,Romania,Snacks,Online,L,2021-05-15,989636695,2021-05-27,4345,152.58,97.44,662960.1,423376.8,239583.3
Sub-Saharan Africa,Benin,Beverages,Online,H,2019-08-21,254974496,2019-08-26,1474,47.45,31.79,69941.3,46858.46,23082.84
Middle East and North Africa,Jordan,Baby Food,Offline,L,2023-01-01,272614848,2023-02-03,1647,255.28,159.42,420446.16,262564.74,157881.42
Central America and the Caribbean,Nicaragua,Fruits,Offline,H,2020-07-02,659794080,2020-08-05,6585,9.33,6.92,61438.05,45568.2,15869.85
Australia and Oceania,Palau,Fruits,Online,H,2018-09-21,204061019,2018-10-27,5045,9.33,6.92,47069.85,34911.4,12158.45
Asia,Laos,Baby Food,Online,C,2015-01-22,913276994,2015-02-19,7812,255.28,159.42,1994247.36,1245389.04,748858.32
Middle East and North Africa,Morocco,Snacks,Online,H,2024-06-13,365615832,2024-07-24,2704,152.58,97.44,412576.32,263477.76,149098.56
North America,United States of America,Clothes,Online,M,2020-07-24,259563863,2020-08-08,9570,109.28,35.84,1045809.6,342988.8,702820.8
Central America and the Caribbean,Haiti,Snacks,Offline,C,2015-12-30,563919913,2016-01-30,5289,152.58,97.44,806995.62,515360.16,291635.46
Sub-Saharan Africa,Senegal,Beverages,Offline,C,2014-02-28,867795312,2014-03-31,8772,47.45,31.79,416231.4,278861.88,137369.52
Asia,Philippines,Baby Food,Offline,H,2014-08-16,830613887,2014-10-05,5962,255.28,159.42,1521979.36,950462.04,571517.32
Asia,South Korea,Clothes,Offline,H,2018-06-15,632111966,2018-07-14,4833,109.28,35.84,528150.24,173214.72,354935.52
Sub-Saharan Africa,Niger,Beverages,Online,M,2022-11-17,522338378,2022-11-21,388,47.45,31.79,18410.6,12334.52,6076.08
Europe,Montenegro,Baby Food,Offline,H,2015-12-09,371654450,2015-12-31,9666,255.28,159.42,2467536.48,1540953.72,926582.76
Middle East and North Africa,Turkey,Clothes,Offline,L,2024-08-06,120734012,2024-08-22,6732,109.28,35.84,735672.96,241274.88,494398.08
Central America and the Caribbean,The Bahamas,Office Supplies,Online,C,2023-11-13,230563390,2023-12-19,7686,651.21,524.96,5005200.06,4034842.56,970357.5
Asia,India,Personal Care,Offline,H,2016-12-24,332441413,2017-01-09,5657,81.73,56.67,462346.61,320582.19,141764.42
Middle East and North Africa,Oman,Office Supplies,Online,C,2019-05-22,577979409,2019-05-30,5806,651.21,524.96,3780925.26,3047917.76,733007.5
Asia,Mongolia,Fruits,Online,L,2021-04-17,289101207,2021-06-06,326,9.33,6.92,3041.58,2255.92,785.66
Europe,Romania,Cereal,Online,M,2014-05-30,208043134,2014-07-10,3441,205.7,117.11,707813.7,402975.51,304838.19
Central America and the Caribbean,Grenada,Fruits,Online,M,2018-09-10,247354018,2018-10-02,6406,9.33,6.92,59767.98,44329.52,15438.46
Central America and the Caribbean,Guatemala,Office Supplies,Offline,C,2023-07-06,839895188,2023-08-23,2505,651.21,524.96,1631281.05,1315024.8,316256.25
Australia and Oceania,Vanuatu,Clothes,Online,H,2014-05-25,688840472,2014-05-31,2058,109.28,35.84,224898.24,73758.72,151139.52
Middle East and North Africa,Israel,Baby Food,Online,C,2021-03-01,817676198,2021-03-04,7412,255.28,159.42,1892135.36,1181621.04,710514.32
Australia and Oceania,New Zealand,Beverages,Online,M,2016-04-22,520201194,2016-05-24,7948,47.45,31.79,377132.6,252666.92,124465.68
Asia,Bangladesh,Cosmetics,Online,M,2016-08-09,510526788,2016-09-26,5076,437.2,263.33,2219227.2,1336663.08,882564.12
Europe,Liechtenstein,Meat,Offline,H,2024-04-18,673076808,2024-06-02,7240,421.89,364.69,3054483.6,2640355.6,414128.0
Asia,Taiwan,Fruits,Online,M,2021-09-27,512587583,2021-10-28,4911,9.33,6.92,45819.63,33984.12,11835.51
Europe,Sweden,Baby Food,Offline,C,2019-07-12,504107940,2019-07-13,5597,255.28,159.42,1428802.16,892273.74,536528.42
Sub-Saharan Africa,Mozambique,Baby Food,Online,H,2019-01-23,742999207,2019-02-09,8831,255.28,159.42,2254377.68,1407838.02,846539.66
Sub-Saharan Africa,Central African Republic,Household,Online,C,2017-11-28,494935214,2017-12-21,1183,668.27,502.54,790563.41,594504.82,196058.59
Sub-Saharan Africa,Botswana,Cereal,Online,C,2015-02-18,445902287,2015-03-21,1251,205.7,117.11,257330.7,146504.61,110826.09
Central America and the Caribbean,Trinidad and Tobago,Personal Care,Offline,C,2016-08-24,452199256,2016-10-04,4664,81.73,56.67,381188.72,264308.88,116879.84
Europe,Portugal,Baby Food,Offline,L,2019-03-08,890437448,2019-03-20,9083,255.28,159.42,2318708.24,1448011.86,870696.38
Europe,Belgium,Meat,Offline,H,2015-08-13,407540690,2015-10-01,9202,421.89,364.69,3882231.78,3355877.38,526354.4
Middle East and North Africa,Tunisia,Snacks,Online,M,2021-09-23,870745313,2021-10-05,1743,152.58,97.44,265946.94,169837.92,96109.02
Sub-Saharan Africa,Mali,Beverages,Offline,L,2017-05-13,617600142,2017-05-18,461,47.45,31.79,21874.45,14655.19,7219.26
Europe,Estonia,Office Supplies,Offline,L,2015-12-17,305966508,2016-01-29,1144,651.21,524.96,744984.24,600554.24,144430.0
Central America and the Caribbean,Grenada,Cosmetics,Offline,C,2016-06-01,664018237,2016-06-30,6607,437.2,263.33,2888580.4,1739821.31,1148759.09
Middle East and North Africa,Yemen,Personal Care,Offline,L,2019-02-19,240241658,2019-03-22,1700,81.73,56.67,138941.0,96339.0,42602.0
Europe,Greece,Fruits,Offline,C,2020-09-02,353435599,2020-09-05,8303,9.33,6.92,77466.99,57456.76,20010.23
Sub-Saharan Africa,Rwanda,Personal Care,Offline,H,2019-02-03,142711389,2019-02-18,326,81.73,56.67,26643.98,18474.42,8169.56
Asia,China,Beverages,Offline,L,2019-04-24,617492854,2019-05-17,8712,47.45,31.79,413384.4,276954.48,136429.92
Asia,Tajikistan,Personal Care,Online,H,2017-01-17,607516324,2017-03-05,6435,81.73,56.67,525932.55,364671.45,161261.1
Sub-Saharan Africa,Eritrea,Clothes,Online,H,2014-11-17,812830626,2015-01-01,3500,109.28,35.84,382480.0,125440.0,257040.0
Europe,Latvia,Personal Care,Offline,H,2016-11-17,653797090,2016-12-25,1942,81.73,56.67,158719.66,110053.14,48666.52
Australia and Oceania,New Zealand,Baby Food,Offline,C,2023-04-17,521089541,2023-05-25,830,255.28,159.42,211882.4,132318.6,79563.8
